Mitigation ID,Occurrences,Techniques,Priority
M1026,47,T1059 (score: 1); T1059.001 (score: 1); T1190 (score: 1); T1210 (score: 1); T1003 (score: 1); T1003.002 (score: 1); T1003.003 (score: 1); T1003.004 (score: 1); T1055 (score: 1); T1021.001 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1553 (score: 1); T1218 (score: 1); T1078 (score: 1); T1047 (score: 1); T1505 (score: 2); T1546 (score: 3); T1546.003 (score: 3); T1559 (score: 3); T1003.001 (score: 3); T1021.002 (score: 4); T1543 (score: 5); T1078.003 (score: 5); T1098 (score: 6); T1098.003 (score: 6); T1136 (score: 6); T1136.003 (score: 6); T1555 (score: 6); T1003.006 (score: 6); T1552 (score: 6); T1078.004 (score: 6); T1136.001 (score: 7); T1136.002 (score: 7); T1222 (score: 7); T1222.001 (score: 7); T1021.006 (score: 7); T1558 (score: 7); T1558.003 (score: 7); T1569 (score: 7); T1569.002 (score: 7); T1550 (score: 7); T1550.002 (score: 7); T1078.002 (score: 7); T1134 (score: 11); T1542 (score: 11); T1542.003 (score: 11),209
M1018,41,T1087 (score: 1); T1574 (score: 1); T1021 (score: 1); T1021.001 (score: 1); T1021.004 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1199 (score: 1); T1078 (score: 1); T1047 (score: 1); T1505 (score: 2); T1505.003 (score: 2); T1197 (score: 3); T1547.009 (score: 3); T1546.003 (score: 3); T1566.002 (score: 3); T1547.004 (score: 5); T1543 (score: 5); T1543.003 (score: 5); T1098 (score: 6); T1098.003 (score: 6); T1213 (score: 6); T1213.001 (score: 6); T1213.002 (score: 6); T1213.003 (score: 6); T1578 (score: 6); T1578.002 (score: 6); T1578.003 (score: 6); T1489 (score: 6); T1078.004 (score: 6); T1048 (score: 7); T1562 (score: 7); T1562.001 (score: 7); T1490 (score: 7); T1569 (score: 7); T1550 (score: 7); T1550.002 (score: 7); T1134 (score: 11); T1110 (score: 11); T1562.006 (score: 11); T1530 (score: 12),201
M1056,33,T1583 (score: 1); T1583.001 (score: 1); T1588 (score: 1); T1588.002 (score: 1); T1586 (score: 3); T1586.001 (score: 3); T1586.002 (score: 3); T1585 (score: 3); T1585.001 (score: 3); T1585.002 (score: 3); T1589 (score: 3); T1589.001 (score: 3); T1583.003 (score: 6); T1584 (score: 6); T1584.002 (score: 6); T1589.002 (score: 6); T1591 (score: 6); T1591.002 (score: 6); T1591.004 (score: 6); T1588.001 (score: 6); T1597 (score: 6); T1597.002 (score: 6); T1588.003 (score: 7); T1593.001 (score: 8); T1594 (score: 8); T1608 (score: 8); T1608.001 (score: 8); T1595 (score: 11); T1595.002 (score: 11); T1595.003 (score: 11); T1589.003 (score: 11); T1596 (score: 11); T1596.005 (score: 11),193
M1047,37,T1560 (score: 1); T1560.001 (score: 1); T1574 (score: 1); T1574.001 (score: 1); T1027 (score: 1); T1566 (score: 1); T1021 (score: 1); T1021.001 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1059.006 (score: 2); T1505 (score: 2); T1566.002 (score: 3); T1543 (score: 5); T1543.003 (score: 5); T1213 (score: 6); T1213.001 (score: 6); T1213.002 (score: 6); T1213.003 (score: 6); T1114 (score: 6); T1114.003 (score: 6); T1578 (score: 6); T1578.002 (score: 6); T1578.003 (score: 6); T1593 (score: 6); T1593.003 (score: 6); T1552 (score: 6); T1552.008 (score: 6); T1562 (score: 7); T1558 (score: 7); T1552.006 (score: 7); T1550 (score: 7); T1564.008 (score: 10); T1542 (score: 11); T1530 (score: 12); T1021.005 (score: 12); T1552.001 (score: 12),190
M1031,34,T1568 (score: 1); T1105 (score: 1); T1046 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1090 (score: 1); T1090.002 (score: 1); T1204 (score: 1); T1041 (score: 3); T1572 (score: 3); T1204.001 (score: 3); T1102 (score: 3); T1102.003 (score: 3); T1071 (score: 5); T1071.001 (score: 5); T1071.004 (score: 5); T1132 (score: 5); T1132.001 (score: 5); T1573 (score: 5); T1573.002 (score: 5); T1221 (score: 5); T1557 (score: 7); T1557.001 (score: 7); T1048 (score: 7); T1048.003 (score: 7); T1570 (score: 7); T1071.002 (score: 11); T1001 (score: 11); T1001.003 (score: 11); T1030 (score: 11); T1568.002 (score: 11); T1008 (score: 11); T1104 (score: 11); T1102.001 (score: 11),186
M1017,32,T1036 (score: 1); T1027 (score: 1); T1003 (score: 1); T1003.002 (score: 1); T1003.003 (score: 1); T1003.004 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1078 (score: 1); T1003.001 (score: 3); T1566.002 (score: 3); T1204.001 (score: 3); T1221 (score: 5); T1213 (score: 6); T1213.001 (score: 6); T1213.002 (score: 6); T1213.003 (score: 6); T1656 (score: 6); T1111 (score: 6); T1621 (score: 6); T1598 (score: 6); T1598.004 (score: 6); T1552 (score: 6); T1552.008 (score: 6); T1078.004 (score: 6); T1557 (score: 7); T1078.002 (score: 7); T1566.003 (score: 8); T1056.002 (score: 10); T1552.001 (score: 12),141
M1032,21,T1021 (score: 1); T1021.001 (score: 1); T1021.004 (score: 1); T1199 (score: 1); T1133 (score: 3); T1098 (score: 6); T1098.003 (score: 6); T1136 (score: 6); T1136.003 (score: 6); T1213 (score: 6); T1213.003 (score: 6); T1114 (score: 6); T1621 (score: 6); T1078.004 (score: 6); T1136.001 (score: 7); T1136.002 (score: 7); T1078.002 (score: 7); T1114.002 (score: 10); T1110 (score: 11); T1110.002 (score: 11); T1530 (score: 12),126
M1022,21,T1574 (score: 1); T1070 (score: 1); T1070.003 (score: 1); T1036 (score: 1); T1036.003 (score: 1); T1036.005 (score: 1); T1053 (score: 1); T1543 (score: 5); T1489 (score: 6); T1552 (score: 6); T1048 (score: 7); T1222 (score: 7); T1222.001 (score: 7); T1562 (score: 7); T1562.001 (score: 7); T1569 (score: 7); T1569.002 (score: 7); T1562.006 (score: 11); T1070.001 (score: 11); T1530 (score: 12); T1552.001 (score: 12),119
M1042,27,T1059 (score: 1); T1059.001 (score: 1); T1210 (score: 1); T1046 (score: 1); T1021 (score: 1); T1021.001 (score: 1); T1021.004 (score: 1); T1218 (score: 1); T1218.004 (score: 1); T1505 (score: 2); T1505.003 (score: 2); T1059.005 (score: 3); T1133 (score: 3); T1559 (score: 3); T1559.002 (score: 3); T1052 (score: 5); T1052.001 (score: 5); T1091 (score: 5); T1221 (score: 5); T1114.003 (score: 6); T1557 (score: 7); T1557.001 (score: 7); T1555.004 (score: 7); T1021.006 (score: 7); T1595.003 (score: 11); T1059.007 (score: 11); T1021.005 (score: 12),113
M1027,21,T1003 (score: 1); T1003.002 (score: 1); T1003.003 (score: 1); T1003.004 (score: 1); T1021 (score: 1); T1078 (score: 1); T1003.001 (score: 3); T1021.002 (score: 4); T1078.003 (score: 5); T1555 (score: 6); T1555.003 (score: 6); T1555.005 (score: 6); T1003.006 (score: 6); T1552 (score: 6); T1078.004 (score: 6); T1558 (score: 7); T1558.003 (score: 7); T1550 (score: 7); T1110 (score: 11); T1110.002 (score: 11); T1552.001 (score: 12),109
M1038,27,T1059 (score: 1); T1059.001 (score: 1); T1059.003 (score: 1); T1574 (score: 1); T1574.001 (score: 1); T1036 (score: 1); T1036.005 (score: 1); T1106 (score: 1); T1553 (score: 1); T1218 (score: 1); T1218.004 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1047 (score: 1); T1059.006 (score: 2); T1068 (score: 2); T1059.005 (score: 3); T1546.008 (score: 4); T1564.003 (score: 4); T1547.004 (score: 5); T1562 (score: 7); T1562.001 (score: 7); T1490 (score: 7); T1059.004 (score: 11); T1059.007 (score: 11); T1574.006 (score: 11); T1218.001 (score: 11),99
M1037,16,T1090 (score: 1); T1218 (score: 1); T1197 (score: 3); T1572 (score: 3); T1090.003 (score: 3); T1021.002 (score: 4); T1071 (score: 5); T1071.004 (score: 5); T1552 (score: 6); T1557 (score: 7); T1557.001 (score: 7); T1048 (score: 7); T1048.003 (score: 7); T1570 (score: 7); T1530 (score: 12); T1021.005 (score: 12),90
M1040,26,T1059 (score: 1); T1574 (score: 1); T1036 (score: 1); T1106 (score: 1); T1027 (score: 1); T1027.013 (score: 1); T1003 (score: 1); T1055 (score: 1); T1055.012 (score: 1); T1204 (score: 1); T1204.002 (score: 1); T1047 (score: 1); T1059.005 (score: 3); T1546.003 (score: 3); T1559 (score: 3); T1559.002 (score: 3); T1003.001 (score: 3); T1055.001 (score: 3); T1543 (score: 5); T1543.003 (score: 5); T1091 (score: 5); T1027.010 (score: 7); T1569 (score: 7); T1569.002 (score: 7); T1059.007 (score: 11); T1486 (score: 11),88
M1028,21,T1087 (score: 1); T1087.002 (score: 1); T1003 (score: 1); T1003.002 (score: 1); T1021.001 (score: 1); T1053 (score: 1); T1053.005 (score: 1); T1553 (score: 1); T1135 (score: 2); T1197 (score: 3); T1003.001 (score: 3); T1546.008 (score: 4); T1543 (score: 5); T1543.003 (score: 5); T1098 (score: 6); T1136 (score: 6); T1552 (score: 6); T1136.002 (score: 7); T1490 (score: 7); T1087.001 (score: 11); T1574.006 (score: 11),84
M1021,19,T1059 (score: 1); T1568 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1218 (score: 1); T1204 (score: 1); T1059.005 (score: 3); T1189 (score: 3); T1567 (score: 3); T1567.002 (score: 3); T1566.002 (score: 3); T1204.001 (score: 3); T1102 (score: 3); T1102.003 (score: 3); T1566.003 (score: 8); T1059.007 (score: 11); T1568.002 (score: 11); T1218.001 (score: 11); T1102.001 (score: 11),82
M1051,15,T1190 (score: 1); T1210 (score: 1); T1574 (score: 1); T1574.002 (score: 1); T1068 (score: 2); T1189 (score: 3); T1546 (score: 3); T1555 (score: 6); T1555.005 (score: 6); T1552 (score: 6); T1552.006 (score: 7); T1550.002 (score: 7); T1542 (score: 11); T1195 (score: 11); T1195.002 (score: 11),77
M1041,13,T1119 (score: 1); T1070 (score: 1); T1003 (score: 1); T1003.003 (score: 1); T1114 (score: 6); T1114.003 (score: 6); T1552 (score: 6); T1557 (score: 7); T1558 (score: 7); T1558.003 (score: 7); T1114.002 (score: 10); T1070.001 (score: 11); T1530 (score: 12),76
M1030,16,T1190 (score: 1); T1210 (score: 1); T1046 (score: 1); T1021.001 (score: 1); T1199 (score: 1); T1133 (score: 3); T1098 (score: 6); T1136 (score: 6); T1136.003 (score: 6); T1489 (score: 6); T1557 (score: 7); T1557.001 (score: 7); T1136.002 (score: 7); T1048 (score: 7); T1048.003 (score: 7); T1021.006 (score: 7),74
M1049,14,T1059 (score: 1); T1059.001 (score: 1); T1036 (score: 1); T1027 (score: 1); T1027.013 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1059.006 (score: 2); T1059.005 (score: 3); T1564 (score: 4); T1221 (score: 5); T1027.010 (score: 7); T1566.003 (score: 8); T1027.002 (score: 11),47
M1054,11,T1566 (score: 1); T1566.001 (score: 1); T1553 (score: 1); T1559 (score: 3); T1559.002 (score: 3); T1566.002 (score: 3); T1543 (score: 5); T1555.005 (score: 6); T1598 (score: 6); T1562 (score: 7); T1562.006 (score: 11),47
M1015,8,T1003 (score: 1); T1078 (score: 1); T1003.006 (score: 6); T1552 (score: 6); T1078.004 (score: 6); T1558 (score: 7); T1552.006 (score: 7); T1550 (score: 7),41
M1013,9,T1574 (score: 1); T1574.002 (score: 1); T1078 (score: 1); T1559 (score: 3); T1564 (score: 4); T1593 (score: 6); T1593.003 (score: 6); T1550 (score: 7); T1195 (score: 11),40
M1033,6,T1059.006 (score: 2); T1564 (score: 4); T1564.003 (score: 4); T1543 (score: 5); T1195 (score: 11); T1021.005 (score: 12),38
M1035,8,T1021 (score: 1); T1021.001 (score: 1); T1133 (score: 3); T1546.008 (score: 4); T1021.002 (score: 4); T1552 (score: 6); T1557 (score: 7); T1542 (score: 11),37
M1046,3,T1542 (score: 11); T1542.003 (score: 11); T1195 (score: 11),33
M1057,7,T1005 (score: 1); T1041 (score: 3); T1567 (score: 3); T1052 (score: 5); T1052.001 (score: 5); T1048 (score: 7); T1048.003 (score: 7),31
M1024,7,T1574 (score: 1); T1553 (score: 1); T1505 (score: 2); T1489 (score: 6); T1562 (score: 7); T1562.001 (score: 7); T1112 (score: 7),31
M1016,4,T1190 (score: 1); T1210 (score: 1); T1195 (score: 11); T1195.002 (score: 11),24
M1036,4,T1078 (score: 1); T1621 (score: 6); T1078.004 (score: 6); T1110 (score: 11),24
M1053,3,T1485 (score: 6); T1490 (score: 7); T1486 (score: 11),24
M1055,2,T1480 (score: 11); T1480.001 (score: 11),22
M1050,8,T1190 (score: 1); T1210 (score: 1); T1218 (score: 1); T1203 (score: 2); T1068 (score: 2); T1189 (score: 3); T1218.010 (score: 3); T1218.011 (score: 7),20
M1045,7,T1059 (score: 1); T1059.001 (score: 1); T1036 (score: 1); T1036.005 (score: 1); T1505 (score: 2); T1543 (score: 5); T1543.003 (score: 5),16
M1048,7,T1190 (score: 1); T1210 (score: 1); T1203 (score: 2); T1068 (score: 2); T1189 (score: 3); T1559 (score: 3); T1559.002 (score: 3),15
M1034,3,T1052 (score: 5); T1052.001 (score: 5); T1091 (score: 5),15
M1029,4,T1119 (score: 1); T1070 (score: 1); T1070.003 (score: 1); T1070.001 (score: 11),14
M1020,3,T1090 (score: 1); T1573 (score: 5); T1573.002 (score: 5),11
M1019,3,T1210 (score: 1); T1068 (score: 2); T1656 (score: 6),9
M1052,2,T1574 (score: 1); T1550.002 (score: 7),8
M1043,2,T1003 (score: 1); T1003.001 (score: 3),4
M1025,2,T1003 (score: 1); T1003.001 (score: 3),4
M1044,2,T1574 (score: 1); T1574.001 (score: 1),2
M1039,1,T1070.003 (score: 1),1
